"id","ip_src","ip_dst","id_pac","a_return_rec","flags_authenticated","flags_authoritative","flags_opcode","flags_rcode","flags_recavail","flags_recdesired","flags_response","flags_truncated","flags_z","qry_class","qry_name","qry_type","resp_class","resp_ttl","resp_type","response_to","time","count_add_rr","count_answers","count_auth_rr","count_labels","count_queries","date_added"
88,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
89,"192.168.212.129","192.168.212.2","0x00003bb0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fab.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
90,"192.168.212.129","192.168.212.2","0x0000e9be",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fab.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
91,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
92,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
93,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
94,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
95,"192.168.212.129","192.168.212.2","0x00003bb0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fab.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
96,"192.168.212.129","192.168.212.2","0x0000e9be",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fab.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
97,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
98,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
99,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
100,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
